CODIGO CIE;CODIGO INEP;ESCOLA;DIRETORIA;MUNICIPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO
901842;35901842;JOSE BENEDITO FERREIRA PROFESSOR;GUARULHOS NORTE;GUARULHOS;;3.40;
901854;35901854;CARLOS RICHARD STRAUTMANN PASTOR;JACAREI;ARUJA;;2.90;
901878;35901878;MARIA DAS GRACAS SALES DE OLIVEIRA PROFA;JACAREI;SANTA ISABEL;;3.24;2.18
901885;35901885;LEDA FERNANDES LOPES PROFESSORA;SUZANO;SUZANO;;3.56;3.12
901891;35901891;JANDYRA COUTINHO PROFESSORA;SUZANO;SUZANO;4.42;3.18;
901912;35901912;ELISEU JORGE PROFESSOR;ITAQUAQUECETUBA;POA;;2.88;1.91
901921;35901921;MARCELO TADEU DE OLIVEIRA CASTRO CAMPOS MARQUES PROFESSOR;ITAQUAQUECETUBA;ITAQUAQUECETUBA;;2.27;1.70
901945;35901945;ILSON GOMES PROFESSOR;MOGI DAS CRUZES;MOGI DAS CRUZES;;3.78;2.66
901957;35901957;ROBERTO FRADE MONTE PROFESSOR;DIADEMA;DIADEMA;5.66;;
901970;35901970;GREGORIO BEZERRA DEPUTADO;DIADEMA;DIADEMA;;2.69;1.75
901982;35901982;JOSE MAURO DE VASCONCELOS;DIADEMA;DIADEMA;5.57;;
901994;35901994;ANTONIO LAPATE NETTO PROFESSOR;MAUA;MAUA;;3.49;2.27
902007;35902007;ATILLIO TOGNATO;SANTO ANDRE;SANTO ANDRE;5.79;;
902020;35902020;LUIS DOS SANTOS METALURGICO;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;;3.10;2.64
902032;35902032;ANTONIO BRAZ GAMBARINI DOUTOR;OSASCO;OSASCO;;3.64;2.12
902044;35902044;IGNES AMELIA OLIVEIRA MACHADO PROFESSORA;ITAPEVI;ITAPEVI;;2.38;1.89
902093;35902093;APARECIDA DE FATIMA SILVA PROFESSORA;CARAPICUIBA;CARAPICUIBA;5.40;;
902100;35902100;HENRIQUE TEIXEIRA LOTT MARECHAL;TABOAO DA SERRA;EMBU DAS ARTES;;3.33;3.17
902135;35902135;BENEVIDES BERALDO COMENDADOR;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;;2.63;2.53
902159;35902159;MARIA OLIMPIA DE SOUZA QUEIROZ MACIEL;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA;;2.54;2.46
