CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MÉDIO
11034;35011034;TELMO COELHO FILHO MAJOR                                    ;OSASCO;OSASCO;;3,35;1,71
11058;35011058;LEONARDO VILAS BOAS                                         ;OSASCO;OSASCO;;1,89;1,67
11061;35011061;JOSUE BENEDICTO MENDES PROFESSOR                            ;OSASCO;OSASCO;;1,53;1,45
11083;35011083;VICENTE PEIXOTO PROFESSOR                                   ;OSASCO;OSASCO;;2,62;2,18
11095;35011095;ANTONIO RAPOSO TAVARES                                      ;OSASCO;OSASCO;;3,04;2,15
11113;35011113;FRANCISCO CASABONA PROFESSOR                                ;OSASCO;OSASCO;;2,38;1,35
11137;35011137;NEWTON ESPIRITO SANTO AYRES PROFESSOR                       ;OSASCO;OSASCO;;2,66;2,10
11149;35011149;LUCY ANNA CARROZO LATORRE PROFESSORA                        ;OSASCO;OSASCO;;3,15;1,83
11150;35011150;JOSE CELESTINO ARANHA                                       ;CARAGUATATUBA;UBATUBA;;3,31;
11162;35011162;FLORENTINA MARTINS SANCHEZ PROFESSORA                       ;CARAGUATATUBA;UBATUBA;;2,03;1,76
11186;35011186;SEMIRAMIS PRADO DE OLIVEIRA PROFESSORA                      ;CARAGUATATUBA;UBATUBA;;2,03;2,21
11198;35011198;AUREA MOREIRA RACHOU PROFESSORA                             ;CARAGUATATUBA;UBATUBA;;2,54;2,26
11204;35011204;PLINIO GONCALVES DE OLIVEIRA SANTOS                         ;CARAGUATATUBA;SAO SEBASTIAO;;;2,06
11216;35011216;DEOLINDO DE OLIVEIRA SANTOS CAPITAO                         ;CARAGUATATUBA;UBATUBA;;;2,15
11228;35011228;GABRIEL RIBEIRO DOS SANTOS DOUTOR                           ;CARAGUATATUBA;ILHABELA;;;1,75
11253;35011253;ESTEVES DA SILVA DOUTOR                                     ;CARAGUATATUBA;UBATUBA;;3,23;
11265;35011265;WALKIR VERGANI                                              ;CARAGUATATUBA;SAO SEBASTIAO;;;1,89
11289;35011289;MARIA JOSE DA PENHA FRUGOLI PROFESSORA                      ;CARAGUATATUBA;SAO SEBASTIAO;;;1,72
11290;35011290;EDUARDO CORREA DA COSTA JUNIOR DOUTOR                       ;CARAGUATATUBA;CARAGUATATUBA;;3,91;2,42
11320;35011320;THOMAZ RIBEIRO DE LIMA                                      ;CARAGUATATUBA;CARAGUATATUBA;;;2,50
11332;35011332;ALCIDES DE CASTRO GALVAO                                    ;CARAGUATATUBA;CARAGUATATUBA;;3,31;2,72
11368;35011368;MAISA THEODORO DA SILVA PROFESSORA                          ;CARAGUATATUBA;SAO SEBASTIAO;;3,41;2,50
11373;35011373;NAIR FERREIRA NEVES PROFESSORA                              ;CARAGUATATUBA;SAO SEBASTIAO;;;2,02
11381;35011381;BENEDITO MIGUEL CARLOTA                                     ;CARAGUATATUBA;CARAGUATATUBA;;;2,43
11393;35011393;AVELINO FERREIRA                                            ;CARAGUATATUBA;CARAGUATATUBA;;;2,87
11400;35011400;ISMAEL IGLESIAS                                             ;CARAGUATATUBA;CARAGUATATUBA;;3,37;3,46
11423;35011423;HUMBERTO DE ALENCAR CASTELLO BRANCO MARECHAL                ;SANTOS;CUBATAO;;2,00;1,15
11435;35011435;AFONSO SCHIMIDT                                             ;SANTOS;CUBATAO;;1,97;2,37
11447;35011447;JACINTO DO AMARAL NARDUCCI PROF                             ;SANTOS;GUARUJA;3,65;;
11459;35011459;RENE RODRIGUES DE MORAES PROFESSOR                          ;SANTOS;GUARUJA;;2,11;1,64
11460;35011460;JOSE CAVARIANI PROFESSOR                                    ;SANTOS;GUARUJA;;1,81;1,33
11484;35011484;WALTER SCHEPIS PROFESSOR                                    ;SANTOS;GUARUJA;;2,55;1,70
