CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;Anos Iniciais;Anos Finais;Ensino Médio
38453;35038453;JOAO PAULO II                                               ;MAUA;MAUA;;4,00;2,50
38465;35038465;JOAO PAULINO DE FARIA JUNIOR PROFESSOR                      ;MAUA;MAUA;4,76;;
38477;35038477;MARLI RAIA REIS PROFESSORA                                  ;MAUA;RIBEIRAO PIRES;2,88;2,60;
38489;35038489;SIMAO SALEM REVERENDO                                       ;SANTO ANDRE;SANTO ANDRE;4,67;;
38490;35038490;CELESTINO BOURROUL PROFESSOR                                ;SANTO ANDRE;SANTO ANDRE;4,29;;
38519;35038519;MARIA CRISTINA SCHMIDT MIRANDA PROFESSORA                   ;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;;2,60;1,58
38532;35038532;DIDITA CARDOSO ALVES PROFESSORA                             ;CARAPICUIBA;CARAPICUIBA;3,85;;
38544;35038544;SALOMAO JORGE DEPUTADO                                      ;CARAPICUIBA;CARAPICUIBA;;2,86;1,93
38556;35038556;RICARDO ANTONIO PECCHIO PROFESSOR                           ;CARAPICUIBA;CARAPICUIBA;3,46;;
38568;35038568;ODETTE ALGODOAL LANZARA PROFESSORA                          ;CARAPICUIBA;CARAPICUIBA;2,99;1,86;1,46
38581;35038581;ALEXANDRINA BASSITH                                         ;TABOAO DA SERRA;EMBU;1,86;1,73;1,83
38600;35038600;JACQUES KLEIN                                               ;TABOAO DA SERRA;EMBU;3,07;2,30;2,04
38611;35038611;ASAS BRANCAS                                                ;TABOAO DA SERRA;TABOAO DA SERRA;3,74;;
38647;35038647;JOSE GERALDO VIEIRA                                         ;OSASCO;OSASCO;;2,81;1,14
38684;35038684;GASTAO RAMOS PROFESSOR                                      ;OSASCO;OSASCO;5,73;2,58;2,41
38702;35038702;ANTONIO DE ALMEIDA JUNIOR                                   ;OSASCO;OSASCO;4,33;1,77;
38726;35038726;TARSILA DO AMARAL                                           ;OSASCO;OSASCO;;1,90;1,35
38738;35038738;FRANCISCO MATARAZZO SOBRINHO                                ;OSASCO;OSASCO;;1,97;1,81
38751;35038751;SUELI APARECIDA FIGUEIRA DOS SANTOS PROFESSORA              ;CARAGUATATUBA;UBATUBA;;3,12;1,87
38763;35038763;DIONISIA BUENO VELLOSO PROFESSORA                           ;CARAGUATATUBA;UBATUBA;;2,05;2,08
38775;35038775;DOMINGOS DE SOUZA PREFEITO                                  ;SANTOS;GUARUJA;;2,83;2,10
38805;35038805;JOAO OCTAVIO DOS SANTOS                                     ;SANTOS;SANTOS;3,27;2,35;2,15
38830;35038830;OTTONIEL JUNQUEIRA PROFESSOR                                ;SAO VICENTE;PERUIBE;;2,74;2,40
38842;35038842;LUIZ D AUREA PROFESSOR                                      ;SAO VICENTE;SAO VICENTE;;2,67;2,04
38866;35038866;SYLVIA NOEMIA DE ALBUQUERQUE MARTINS PROFA                  ;APIAI;APIAI;3,68;2,69;2,75
38878;35038878;JOAO PEDRO DO NASCIMENTO PROF                               ;APIAI;APIAI;3,77;2,92;
38885;35038885;ABDIEL LOPES MONTEIRO PROF                                  ;APIAI;RIBEIRAO BRANCO;;2,64;2,76
38908;35038908;MARIA IZABEL CRUZ PIMENTEL DONA                             ;AVARE;AVARE;;2,65;2,15
38921;35038921;SADAMITA IVASSAKI                                           ;ITAPETININGA;SAO MIGUEL ARCANJO;;2,73;1,98
38945;35038945;BENEDITO LAZARO DE CAMPOS DR                                ;ITU;ITU;;2,11;1,64
38957;35038957;JORDINA AMARAL ARRUDA PROFESSORA                            ;SOROCABA;SOROCABA;;2,46;2,03
38970;35038970;CLEIDE DA FONSECA FERREIRA PROFA                            ;MOGI MIRIM;MOGI-GUACU;;3,33;1,49
38982;35038982;ANTONIO DOS SANTOS PROF                                     ;ARARAQUARA;ARARAQUARA;;2,53;1,38
39007;35039007;PEDRO NUNES ROCHA PROF                                      ;FRANCA;FRANCA;;3,52;1,95
39019;35039019;ANDRELINO VIEIRA PROFESSOR                                  ;SAO CARLOS;SAO CARLOS;4,30;;
39020;35039020;WALFREDO DE ANDRADE FOGACA PROFESSOR                        ;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;5,60;;
39056;35039056;ELVIRA SILVA PROFESSORA                                     ;MIRACATU;IGUAPE;3,85;3,10;2,44
39093;35039093;JULIETA TERLIZZI BINDO PROFA                                ;LESTE 4;SAO PAULO;4,38;;
39100;35039100;GASTAO STRANG PROFESSOR                                     ;LESTE 5;SAO PAULO;4,12;;
39111;35039111;JAIME CORTESAO                                              ;LESTE 5;SAO PAULO;5,14;;
39123;35039123;CHARLES DE GAULLE                                           ;LESTE 2;SAO PAULO;;2,31;1,46
39135;35039135;DULCE LEITE DA SILVA PROFA                                  ;LESTE 2;SAO PAULO;2,79;;
39147;35039147;MARTHA FIGUEIRA NETTO DA SILVA PROFESSORA                   ;CENTRO SUL;SAO PAULO;;2,46;2,12
39159;35039159;ROBERTO MANGE                                               ;SUL 3;SAO PAULO;;2,45;1,95
39172;35039172;ANA LUIZA FLORENCE BORGES PROFA                             ;SUL 3;SAO PAULO;;1,83;1,34
39184;35039184;ROBERTA MARIA LOPES CHAVES PROFESSORA                       ;GUARULHOS NORTE;GUARULHOS;4,51;;
39196;35039196;HORACIO QUAGLIO PROFESSOR                                   ;OSASCO;OSASCO;;3,00;
39202;35039202;ZENAIDE FRANCO DE FARIA MELLO PROFA                         ;MOGI MIRIM;MOGI-GUACU;;3,20;2,04
39214;35039214;MAXIMO RIBEIRO NUNES PROFESSOR                              ;LESTE 5;SAO PAULO;3,28;;
39226;35039226;LUIZ LAZARO ZAMENHOF DR                                     ;NORTE 2;SAO PAULO;4,77;;
39238;35039238;LUCIO DE CARVALHO MARQUES PROFESSOR                         ;LESTE 1;SAO PAULO;4,06;;
39248;35039248;QUINTILIANO JOSE SITRANGULO PROF                            ;LESTE 4;SAO PAULO;2,28;2,10;1,41
39251;35039251;CARLOS HENRIQUE LIBERALLI PROFESSOR                         ;LESTE 3;SAO PAULO;1,99;2,33;1,08
39263;35039263;CHIBATA MIYAKOSHI                                           ;LESTE 4;SAO PAULO;;2,21;1,28
39275;35039275;HERMANO RIBEIRO DA SILVA                                    ;SUL 1;SAO PAULO;3,28;;
39287;35039287;AYRES NETO DOUTOR                                           ;SUL 1;SAO PAULO;;1,83;1,36
39299;35039299;IBRAHIM NOBRE                                               ;SUL 1;SAO PAULO;;2,70;2,45
39305;35039305;JOAO ERNESTO DE SOUZA CAMPOS PROFESSOR                      ;SUL 1;SAO PAULO;3,51;;
39317;35039317;FRANCISCO BRASILIENSE FUSCO DOUTOR                          ;SUL 1;SAO PAULO;5,29;3,32;2,41
39329;35039329;HOMERO SILVA                                                ;DIADEMA;DIADEMA;;2,06;1,70
39330;35039330;MARIA JOSE MARGATO BROCATTO PROFA                           ;AMERICANA;SANTA BARBARA D'OESTE;;3,65;2,52
39342;35039342;JOSE OSCAR ABREU SAMPAIO                                    ;NORTE 1;SAO PAULO;2,77;2,79;1,23
39354;35039354;VICTORIO AMERICO FONTANA PROF                               ;LESTE 4;SAO PAULO;4,22;;
39366;35039366;NELLO LORENZON                                              ;LESTE 1;SAO PAULO;;2,12;1,43
39378;35039378;MELVIN JONES                                                ;CENTRO SUL;SAO PAULO;4,42;;
39385;35039385;BENEDITO FERREIRA DE ALBUQUERQUE PROF                       ;SUL 3;SAO PAULO;3,47;1,97;1,58
39391;35039391;REGINA MIRANDA BRANT DE CARVALHO PROFA                      ;SUL 3;SAO PAULO;3,66;1,91;1,62
39408;35039408;ELYO FERREIRA DE CASTRO PROFESSOR                           ;SUL 2;SAO PAULO;3,69;;
39445;35039445;OZILDE ALBUQUERQUE PASSARELLA DR                            ;CAIEIRAS;MAIRIPORA;;2,65;1,59
39457;35039457;GERALDO BARBOSA DE ALMEIDA PROF                             ;JACAREI;ARUJA;;2,46;1,59
39469;35039469;SERAPHINA RENZI MARTELLO                                    ;GUARULHOS NORTE;GUARULHOS;2,99;;
39500;35039500;LIVIO MARCOS GUERCIA PROFESSOR                              ;DIADEMA;DIADEMA;3,25;;
39512;35039512;OLGA FONSECA PROFESSORA                                     ;DIADEMA;DIADEMA;4,93;;
39524;35039524;TRISTAO DE ATHAYDE                                          ;DIADEMA;DIADEMA;3,86;;
39536;35039536;JULIO PIGNATARI DOUTOR                                      ;SANTO ANDRE;SANTO ANDRE;3,84;;
39548;35039548;VLADIMIR HERZOG JORNALISTA                                  ;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;;2,57;2,04
39559;35039559;MARIO TROMBINI COMENDADOR                                   ;CARAGUATATUBA;CARAGUATATUBA;;2,93;2,58
39597;35039597;BENEDITA FREIRE DE MACEDO DONA                              ;JACAREI;JACAREI;4,00;2,47;1,35
39603;35039603;VERANO CAMARA                                               ;JACAREI;JACAREI;4,06;;
39615;35039615;ADELIA MONTEIRO PROFA                                       ;JACAREI;JACAREI;4,26;;
39627;35039627;NEUSA TEODORO DE AZEVEDO PROFA                              ;JACAREI;JACAREI;4,42;;
39639;35039639;OLIVIA DO AMARAL SANTOS CANETTIERI PROFA                    ;JACAREI;JACAREI;;2,75;1,63
39640;35039640;FRANCISCO LOPES DE AZEVEDO PROFESSOR                        ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;4,95;3,22;2,63
39652;35039652;LAURA AUGUSTA DE CARVALHO ROSAS PROFA                       ;JACAREI;JACAREI;2,68;;
39664;35039664;JOSE MARCONDES DE MATTOS DOUTOR                             ;TAUBATE;TAUBATE;2,51;;1,82
39676;35039676;MALVINA LEITE E SILVA PROFESSORA                            ;TAUBATE;CACAPAVA;2,89;2,40;1,74
39688;35039688;MARIA BENEDITA DE ALMEIDA BAIDA PROFA                       ;BOTUCATU;SAO MANUEL;;1,94;1,34
39697;35039697;MARIA APARECIDA JUSTO SALVADOR PROFA                        ;BOTUCATU;PRATANIA;;2,47;1,62
39718;35039718;ALBERTO PEREIRA PROFESSOR                                   ;ITARARE;ITABERA;4,17;2,77;
