NOMEDEP;DE;MUN;DISTR;COD_ESC;NOMESC;SITUACAO;TIPOESC;ENDESC;NUMESC;COMPLEND;CEP;BAIESC;ZONA;DS_LONGITUDE;DS_LATITUDE;CODVINC
ESTADUAL - SE;ITAPECERICA DA SERRA;JUQUITIBA;JUQUITIBA;910569;BAIRRO NOSSA SENHORA DA CONCEICAO;Ativa;EE;RUA OSWALDO BARBOSA GUIMARAES;400;RUA;6950000;NOSSA SENHORA CONCEICAO;URBANA;-47,07226181;-23,94049072;
ESTADUAL - SE;CARAPICUIBA;COTIA;COTIA;910570;VILA SAO JOAQUIM II;Ativa;EE;EXACTA;200;RUA;6700218;JARDIM LEONOR;URBANA;-46,9307;-23,609;
ESTADUAL - SE;CARAPICUIBA;COTIA;COTIA;910582;CONCEICAO DA COSTA NEVES DEPUTADA;Ativa;EE;POTENGI;92;RUA;6703785;JARDIM RIO DAS PEDRAS;URBANA;-46,90699005;-23,59579086;
ESTADUAL - SE;JUNDIAI;CAMPO LIMPO PAULISTA;CAMPO LIMPO PAULISTA;910594;VICTOR GERALDO SIMONSEN;Ativa;EE;ESPANHA;SN;RUA;13232041;JARDIM EUROPA;URBANA;-46,76919937;-23,21360016;
ESTADUAL - SE;CAIEIRAS;FRANCO DA ROCHA;FRANCO DA ROCHA;910636;BENEDITO APARECIDO TAVARES PROF;Ativa;EE;R HIPOLITO TRIGO SANTIAGO;SN;RUA;7804080;JD CRUZEIRO;URBANA;-46,73308945;-23,32576942;
ESTADUAL - SE;ITAPECERICA DA SERRA;SAO LOURENCO DA SERRA;SAO LOURENCO DA SERRA;910685;ANTONIO BALDUSCO PREFEITO;Ativa;EE;RUA DAS PRIMAVERAS;270;AVENIDA;6890000;DESPEZIO;URBANA;-46,92932129;-23,81707001;
ESTADUAL - SE;TABOAO DA SERRA;EMBU DAS ARTES;EMBU DAS ARTES;910715;EDE WILSON GONZAGA PROFESSOR;Ativa;EE;GABAO;55;RUA;6816490;JARDIM SAO LUIZ;URBANA;-46,8117981;-23,64249992;
ESTADUAL - SE;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO;910764;CLARICE DE MAGALHAES CASTRO PROFESSORA;Ativa;EE;AVENIDA SENADOR RICARDO BATISTA;355;AVENIDA;9812510;ASSUNCAO;URBANA;-46,57310104;-23,72270012;
ESTADUAL - SE;LESTE 2;SAO PAULO;JARDIM HELENA;910776;FERNANDES SOARES PROF;Ativa;EE;ERVA DO SERENO;500;RUA;8180010;JARDIM MAIA;URBANA;-46,41220856;-23,48397064;
ESTADUAL - SE;LESTE 1;SAO PAULO;VILA JACUI;910788;ARCANGELO SFORCIM;Ativa;EE;SERRA DA MOEDA;61;RUA;8070060;PARQUE CRUZEIRO DO SUL;URBANA;-46,46474838;-23,49382019;
ESTADUAL - SE;LESTE 1;SAO PAULO;VILA JACUI;910797;TITO LIVIO FERREIRA PROFESSOR;Ativa;EE;BARDANA;35;RUA;8040730;JARDIM RUTH;URBANA;-46,4482193;-23,51123047;
ESTADUAL - SE;LESTE 3;SAO PAULO;SAO RAFAEL;910831;GERALDINO DOS SANTOS DEPUTADO;Ativa;EE;SERTANISTAS;1175;AVENIDA;8390240;JARDIM SANTO ANDRE;URBANA;-46,44633865;-23,63087082;
ESTADUAL - SE;LESTE 1;SAO PAULO;ERMELINO MATARAZZO;910843;THEREZINHA ARANHA MANTELLI;Ativa;EE;RUA PROFESSOR ANTONIO DE CASTRO LOPES;930;RUA;3805080;PARQUE BOTURUSSU;URBANA;-46,4784005;-23,4999338;
